NAICS_6_Digit,NAICS_6_Title,NAICS_8_Digit,NAICS_8_Title,Differentiation_Criteria_8,Description_8,NAICS_10_Digit,NAICS_10_Title,Differentiation_Criteria_10,Description_10
111110,Soybean Farming,11111003,Non-GMO Soybean Farming,Product Type,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets,1111100302,Non-GMO Soybean Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets Medium-sized operations 100-1000 acres.
111110,Soybean Farming,11111003,Non-GMO Soybean Farming,Product Type,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets,1111100303,Non-GMO Soybean Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets Large-scale commercial operations over 1000 acres.
111110,Soybean Farming,11111003,Non-GMO Soybean Farming,Product Type,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets,1111100304,Non-GMO Soybean Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing non-genetically modified soybeans for specialty markets Operations utilizing GPS, sensors, drones, and precision ag technology."
111110,Soybean Farming,11111003,Non-GMO Soybean Farming,Product Type,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets,1111100305,Non-GMO Soybean Farming - Contract Growing,Business Model,"Farms primarily engaged in growing non-genetically modified soybeans for specialty markets Contract production for processors, cooperatives, or major buyers."
111110,Soybean Farming,11111004,GMO Soybean Farming,Product Type,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits),1111100401,GMO Soybean Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits) Small-scale operations under 100 acres.
111110,Soybean Farming,11111004,GMO Soybean Farming,Product Type,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits),1111100402,GMO Soybean Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits) Medium-sized operations 100-1000 acres.
111110,Soybean Farming,11111004,GMO Soybean Farming,Product Type,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits),1111100403,GMO Soybean Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits) Large-scale commercial operations over 1000 acres.
111110,Soybean Farming,11111004,GMO Soybean Farming,Product Type,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits),1111100404,GMO Soybean Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits) Operations utilizing GPS, sensors, drones, and precision ag technology."
111110,Soybean Farming,11111004,GMO Soybean Farming,Product Type,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits),1111100405,GMO Soybean Farming - Contract Growing,Business Model,"Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits) Contract production for processors, cooperatives, or major buyers."
111110,Soybean Farming,11111005,Edamame (Vegetable Soybean) Farming,Product Type,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption,1111100501,Edamame (Vegetable Soybean) Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption Small-scale operations under 100 acres.
111110,Soybean Farming,11111005,Edamame (Vegetable Soybean) Farming,Product Type,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption,1111100502,Edamame (Vegetable Soybean) Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption Medium-sized operations 100-1000 acres.
111110,Soybean Farming,11111005,Edamame (Vegetable Soybean) Farming,Product Type,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption,1111100503,Edamame (Vegetable Soybean) Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption Large-scale commercial operations over 1000 acres.
111110,Soybean Farming,11111005,Edamame (Vegetable Soybean) Farming,Product Type,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption,1111100504,Edamame (Vegetable Soybean) Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption Operations utilizing GPS, sensors, drones, and precision ag technology."
111110,Soybean Farming,11111005,Edamame (Vegetable Soybean) Farming,Product Type,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption,1111100505,Edamame (Vegetable Soybean) Farming - Contract Growing,Business Model,"Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption Contract production for processors, cooperatives, or major buyers."
111110,Soybean Farming,11111006,Identity Preserved Soybean Farming,Business Model,Farms maintaining specific soybean varieties with traceability for premium markets,1111100601,Identity Preserved Soybean Farming - Boutique Production,Scale,Farms maintaining specific soybean varieties with traceability for premium markets Small-batch specialty production for premium markets.
111110,Soybean Farming,11111006,Identity Preserved Soybean Farming,Business Model,Farms maintaining specific soybean varieties with traceability for premium markets,1111100602,Identity Preserved Soybean Farming - Export-Focused,Market Channel,Farms maintaining specific soybean varieties with traceability for premium markets Specialty production focused on international export markets.
111110,Soybean Farming,11111006,Identity Preserved Soybean Farming,Business Model,Farms maintaining specific soybean varieties with traceability for premium markets,1111100603,Identity Preserved Soybean Farming - Certified/Traceable,Certification Level,Farms maintaining specific soybean varieties with traceability for premium markets Specialty production with premium certifications and full traceability.
111110,Soybean Farming,11111006,Identity Preserved Soybean Farming,Business Model,Farms maintaining specific soybean varieties with traceability for premium markets,1111100604,Identity Preserved Soybean Farming - Research/Experimental,Production Purpose,"Farms maintaining specific soybean varieties with traceability for premium markets Specialty cultivation for research, variety trials, or new market development."
111110,Soybean Farming,11111007,Soybean Seed Production,Product Type,Farms primarily engaged in growing soybeans for seed production and distribution,1111100701,Soybean Seed Production - Foundation Seed,Seed Class,Farms primarily engaged in growing soybeans for seed production and distribution Specifically foundation/breeder seed for seed companies.
111110,Soybean Farming,11111007,Soybean Seed Production,Product Type,Farms primarily engaged in growing soybeans for seed production and distribution,1111100702,Soybean Seed Production - Certified Seed,Seed Class,Farms primarily engaged in growing soybeans for seed production and distribution Certified seed production for commercial planting.
111110,Soybean Farming,11111007,Soybean Seed Production,Product Type,Farms primarily engaged in growing soybeans for seed production and distribution,1111100703,Soybean Seed Production - Hybrid Seed Development,Seed Type,Farms primarily engaged in growing soybeans for seed production and distribution Specializing in hybrid seed research and production.
111110,Soybean Farming,11111007,Soybean Seed Production,Product Type,Farms primarily engaged in growing soybeans for seed production and distribution,1111100704,Soybean Seed Production - Contract Seed Growing,Business Model,Farms primarily engaged in growing soybeans for seed production and distribution Contract growing for major seed companies.
111120,Oilseed (except Soybean) Farming,11112001,Canola Farming,Crop Type,Farms primarily engaged in growing canola (rapeseed) for oil production,1111200101,Canola Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing canola (rapeseed) for oil production Small-scale operations under 100 acres.
111120,Oilseed (except Soybean) Farming,11112001,Canola Farming,Crop Type,Farms primarily engaged in growing canola (rapeseed) for oil production,1111200102,Canola Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing canola (rapeseed) for oil production Medium-sized operations 100-1000 acres.
111120,Oilseed (except Soybean) Farming,11112001,Canola Farming,Crop Type,Farms primarily engaged in growing canola (rapeseed) for oil production,1111200103,Canola Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing canola (rapeseed) for oil production Large-scale commercial operations over 1000 acres.
111120,Oilseed (except Soybean) Farming,11112001,Canola Farming,Crop Type,Farms primarily engaged in growing canola (rapeseed) for oil production,1111200104,Canola Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing canola (rapeseed) for oil production Operations utilizing GPS, sensors, drones, and precision ag technology."
111120,Oilseed (except Soybean) Farming,11112001,Canola Farming,Crop Type,Farms primarily engaged in growing canola (rapeseed) for oil production,1111200105,Canola Farming - Contract Growing,Business Model,"Farms primarily engaged in growing canola (rapeseed) for oil production Contract production for processors, cooperatives, or major buyers."
111120,Oilseed (except Soybean) Farming,11112002,Sunflower Farming,Crop Type,Farms primarily engaged in growing sunflowers for oil and seed production,1111200201,Sunflower Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing sunflowers for oil and seed production Small-scale operations under 100 acres.
111120,Oilseed (except Soybean) Farming,11112002,Sunflower Farming,Crop Type,Farms primarily engaged in growing sunflowers for oil and seed production,1111200202,Sunflower Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing sunflowers for oil and seed production Medium-sized operations 100-1000 acres.
111120,Oilseed (except Soybean) Farming,11112002,Sunflower Farming,Crop Type,Farms primarily engaged in growing sunflowers for oil and seed production,1111200203,Sunflower Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing sunflowers for oil and seed production Large-scale commercial operations over 1000 acres.
111120,Oilseed (except Soybean) Farming,11112002,Sunflower Farming,Crop Type,Farms primarily engaged in growing sunflowers for oil and seed production,1111200204,Sunflower Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing sunflowers for oil and seed production Operations utilizing GPS, sensors, drones, and precision ag technology."
111120,Oilseed (except Soybean) Farming,11112002,Sunflower Farming,Crop Type,Farms primarily engaged in growing sunflowers for oil and seed production,1111200205,Sunflower Farming - Contract Growing,Business Model,"Farms primarily engaged in growing sunflowers for oil and seed production Contract production for processors, cooperatives, or major buyers."
111120,Oilseed (except Soybean) Farming,11112003,Flaxseed Farming,Crop Type,Farms primarily engaged in growing flax for linseed oil and fiber production,1111200301,Flaxseed Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing flax for linseed oil and fiber production Small-scale operations under 100 acres.
111120,Oilseed (except Soybean) Farming,11112003,Flaxseed Farming,Crop Type,Farms primarily engaged in growing flax for linseed oil and fiber production,1111200302,Flaxseed Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing flax for linseed oil and fiber production Medium-sized operations 100-1000 acres.
111120,Oilseed (except Soybean) Farming,11112003,Flaxseed Farming,Crop Type,Farms primarily engaged in growing flax for linseed oil and fiber production,1111200303,Flaxseed Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing flax for linseed oil and fiber production Large-scale commercial operations over 1000 acres.
111120,Oilseed (except Soybean) Farming,11112003,Flaxseed Farming,Crop Type,Farms primarily engaged in growing flax for linseed oil and fiber production,1111200304,Flaxseed Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing flax for linseed oil and fiber production Operations utilizing GPS, sensors, drones, and precision ag technology."
111120,Oilseed (except Soybean) Farming,11112003,Flaxseed Farming,Crop Type,Farms primarily engaged in growing flax for linseed oil and fiber production,1111200305,Flaxseed Farming - Contract Growing,Business Model,"Farms primarily engaged in growing flax for linseed oil and fiber production Contract production for processors, cooperatives, or major buyers."
111120,Oilseed (except Soybean) Farming,11112004,Safflower Farming,Crop Type,Farms primarily engaged in growing safflower for oil production,1111200401,Safflower Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing safflower for oil production Small-scale operations under 100 acres.
111120,Oilseed (except Soybean) Farming,11112004,Safflower Farming,Crop Type,Farms primarily engaged in growing safflower for oil production,1111200402,Safflower Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing safflower for oil production Medium-sized operations 100-1000 acres.
111120,Oilseed (except Soybean) Farming,11112004,Safflower Farming,Crop Type,Farms primarily engaged in growing safflower for oil production,1111200403,Safflower Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing safflower for oil production Large-scale commercial operations over 1000 acres.
111120,Oilseed (except Soybean) Farming,11112004,Safflower Farming,Crop Type,Farms primarily engaged in growing safflower for oil production,1111200404,Safflower Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing safflower for oil production Operations utilizing GPS, sensors, drones, and precision ag technology."
111120,Oilseed (except Soybean) Farming,11112004,Safflower Farming,Crop Type,Farms primarily engaged in growing safflower for oil production,1111200405,Safflower Farming - Contract Growing,Business Model,"Farms primarily engaged in growing safflower for oil production Contract production for processors, cooperatives, or major buyers."
111120,Oilseed (except Soybean) Farming,11112005,Sesame Seed Farming,Crop Type,Farms primarily engaged in growing sesame seeds for oil and culinary use,1111200501,Sesame Seed Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing sesame seeds for oil and culinary use Small-scale operations under 100 acres.
111120,Oilseed (except Soybean) Farming,11112005,Sesame Seed Farming,Crop Type,Farms primarily engaged in growing sesame seeds for oil and culinary use,1111200502,Sesame Seed Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing sesame seeds for oil and culinary use Medium-sized operations 100-1000 acres.
111120,Oilseed (except Soybean) Farming,11112005,Sesame Seed Farming,Crop Type,Farms primarily engaged in growing sesame seeds for oil and culinary use,1111200503,Sesame Seed Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing sesame seeds for oil and culinary use Large-scale commercial operations over 1000 acres.
111120,Oilseed (except Soybean) Farming,11112005,Sesame Seed Farming,Crop Type,Farms primarily engaged in growing sesame seeds for oil and culinary use,1111200504,Sesame Seed Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing sesame seeds for oil and culinary use Operations utilizing GPS, sensors, drones, and precision ag technology."
111120,Oilseed (except Soybean) Farming,11112005,Sesame Seed Farming,Crop Type,Farms primarily engaged in growing sesame seeds for oil and culinary use,1111200505,Sesame Seed Farming - Contract Growing,Business Model,"Farms primarily engaged in growing sesame seeds for oil and culinary use Contract production for processors, cooperatives, or major buyers."
111120,Oilseed (except Soybean) Farming,11112006,Cottonseed Farming (for oil),Product Focus,Farms primarily engaged in cotton production focused on cottonseed oil extraction,1111200601,Cottonseed Farming (for oil) - Small Farm (<100 acres),Farm Size,Farms primarily engaged in cotton production focused on cottonseed oil extraction Small-scale operations under 100 acres.
111120,Oilseed (except Soybean) Farming,11112006,Cottonseed Farming (for oil),Product Focus,Farms primarily engaged in cotton production focused on cottonseed oil extraction,1111200602,Cottonseed Farming (for oil) - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in cotton production focused on cottonseed oil extraction Medium-sized operations 100-1000 acres.
111120,Oilseed (except Soybean) Farming,11112006,Cottonseed Farming (for oil),Product Focus,Farms primarily engaged in cotton production focused on cottonseed oil extraction,1111200603,Cottonseed Farming (for oil) - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in cotton production focused on cottonseed oil extraction Large-scale commercial operations over 1000 acres.
111120,Oilseed (except Soybean) Farming,11112006,Cottonseed Farming (for oil),Product Focus,Farms primarily engaged in cotton production focused on cottonseed oil extraction,1111200604,Cottonseed Farming (for oil) - Precision Agriculture,Technology Level,"Farms primarily engaged in cotton production focused on cottonseed oil extraction Operations utilizing GPS, sensors, drones, and precision ag technology."
111120,Oilseed (except Soybean) Farming,11112006,Cottonseed Farming (for oil),Product Focus,Farms primarily engaged in cotton production focused on cottonseed oil extraction,1111200605,Cottonseed Farming (for oil) - Contract Growing,Business Model,"Farms primarily engaged in cotton production focused on cottonseed oil extraction Contract production for processors, cooperatives, or major buyers."
111120,Oilseed (except Soybean) Farming,11112007,Specialty Oilseed Farming,Crop Type,Farms engaged in growing specialty oilseeds such as camelina or crambe,1111200701,Specialty Oilseed Farming - Boutique Production,Scale,Farms engaged in growing specialty oilseeds such as camelina or crambe Small-batch specialty production for premium markets.
111120,Oilseed (except Soybean) Farming,11112007,Specialty Oilseed Farming,Crop Type,Farms engaged in growing specialty oilseeds such as camelina or crambe,1111200702,Specialty Oilseed Farming - Export-Focused,Market Channel,Farms engaged in growing specialty oilseeds such as camelina or crambe Specialty production focused on international export markets.
111120,Oilseed (except Soybean) Farming,11112007,Specialty Oilseed Farming,Crop Type,Farms engaged in growing specialty oilseeds such as camelina or crambe,1111200703,Specialty Oilseed Farming - Certified/Traceable,Certification Level,Farms engaged in growing specialty oilseeds such as camelina or crambe Specialty production with premium certifications and full traceability.
111120,Oilseed (except Soybean) Farming,11112007,Specialty Oilseed Farming,Crop Type,Farms engaged in growing specialty oilseeds such as camelina or crambe,1111200704,Specialty Oilseed Farming - Research/Experimental,Production Purpose,"Farms engaged in growing specialty oilseeds such as camelina or crambe Specialty cultivation for research, variety trials, or new market development."
111130,Dry Pea and Bean Farming,11113001,Dry Edible Bean Farming,Product Type,Farms primarily engaged in growing dry edible beans (pinto black navy kidney),1111300101,Dry Edible Bean Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing dry edible beans (pinto black navy kidney) Small-scale operations under 100 acres.
111130,Dry Pea and Bean Farming,11113001,Dry Edible Bean Farming,Product Type,Farms primarily engaged in growing dry edible beans (pinto black navy kidney),1111300102,Dry Edible Bean Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing dry edible beans (pinto black navy kidney) Medium-sized operations 100-1000 acres.
111130,Dry Pea and Bean Farming,11113001,Dry Edible Bean Farming,Product Type,Farms primarily engaged in growing dry edible beans (pinto black navy kidney),1111300103,Dry Edible Bean Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing dry edible beans (pinto black navy kidney) Large-scale commercial operations over 1000 acres.
111130,Dry Pea and Bean Farming,11113001,Dry Edible Bean Farming,Product Type,Farms primarily engaged in growing dry edible beans (pinto black navy kidney),1111300104,Dry Edible Bean Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing dry edible beans (pinto black navy kidney) Operations utilizing GPS, sensors, drones, and precision ag technology."
111130,Dry Pea and Bean Farming,11113001,Dry Edible Bean Farming,Product Type,Farms primarily engaged in growing dry edible beans (pinto black navy kidney),1111300105,Dry Edible Bean Farming - Contract Growing,Business Model,"Farms primarily engaged in growing dry edible beans (pinto black navy kidney) Contract production for processors, cooperatives, or major buyers."
111130,Dry Pea and Bean Farming,11113002,Chickpea (Garbanzo Bean) Farming,Crop Type,Farms primarily engaged in growing chickpeas for dry consumption,1111300201,Chickpea (Garbanzo Bean) Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing chickpeas for dry consumption Small-scale operations under 100 acres.
111130,Dry Pea and Bean Farming,11113002,Chickpea (Garbanzo Bean) Farming,Crop Type,Farms primarily engaged in growing chickpeas for dry consumption,1111300202,Chickpea (Garbanzo Bean) Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing chickpeas for dry consumption Medium-sized operations 100-1000 acres.
111130,Dry Pea and Bean Farming,11113002,Chickpea (Garbanzo Bean) Farming,Crop Type,Farms primarily engaged in growing chickpeas for dry consumption,1111300203,Chickpea (Garbanzo Bean) Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing chickpeas for dry consumption Large-scale commercial operations over 1000 acres.
111130,Dry Pea and Bean Farming,11113002,Chickpea (Garbanzo Bean) Farming,Crop Type,Farms primarily engaged in growing chickpeas for dry consumption,1111300204,Chickpea (Garbanzo Bean) Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing chickpeas for dry consumption Operations utilizing GPS, sensors, drones, and precision ag technology."
111130,Dry Pea and Bean Farming,11113002,Chickpea (Garbanzo Bean) Farming,Crop Type,Farms primarily engaged in growing chickpeas for dry consumption,1111300205,Chickpea (Garbanzo Bean) Farming - Contract Growing,Business Model,"Farms primarily engaged in growing chickpeas for dry consumption Contract production for processors, cooperatives, or major buyers."
111130,Dry Pea and Bean Farming,11113003,Lentil Farming,Crop Type,Farms primarily engaged in growing lentils for dry consumption,1111300301,Lentil Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing lentils for dry consumption Small-scale operations under 100 acres.
111130,Dry Pea and Bean Farming,11113003,Lentil Farming,Crop Type,Farms primarily engaged in growing lentils for dry consumption,1111300302,Lentil Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing lentils for dry consumption Medium-sized operations 100-1000 acres.
111130,Dry Pea and Bean Farming,11113003,Lentil Farming,Crop Type,Farms primarily engaged in growing lentils for dry consumption,1111300303,Lentil Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing lentils for dry consumption Large-scale commercial operations over 1000 acres.
111130,Dry Pea and Bean Farming,11113003,Lentil Farming,Crop Type,Farms primarily engaged in growing lentils for dry consumption,1111300304,Lentil Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing lentils for dry consumption Operations utilizing GPS, sensors, drones, and precision ag technology."
111130,Dry Pea and Bean Farming,11113003,Lentil Farming,Crop Type,Farms primarily engaged in growing lentils for dry consumption,1111300305,Lentil Farming - Contract Growing,Business Model,"Farms primarily engaged in growing lentils for dry consumption Contract production for processors, cooperatives, or major buyers."
111130,Dry Pea and Bean Farming,11113004,Dry Pea Farming,Crop Type,Farms primarily engaged in growing field peas for dry consumption,1111300401,Dry Pea Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing field peas for dry consumption Small-scale operations under 100 acres.
111130,Dry Pea and Bean Farming,11113004,Dry Pea Farming,Crop Type,Farms primarily engaged in growing field peas for dry consumption,1111300402,Dry Pea Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing field peas for dry consumption Medium-sized operations 100-1000 acres.
111130,Dry Pea and Bean Farming,11113004,Dry Pea Farming,Crop Type,Farms primarily engaged in growing field peas for dry consumption,1111300403,Dry Pea Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing field peas for dry consumption Large-scale commercial operations over 1000 acres.
111130,Dry Pea and Bean Farming,11113004,Dry Pea Farming,Crop Type,Farms primarily engaged in growing field peas for dry consumption,1111300404,Dry Pea Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing field peas for dry consumption Operations utilizing GPS, sensors, drones, and precision ag technology."
111130,Dry Pea and Bean Farming,11113004,Dry Pea Farming,Crop Type,Farms primarily engaged in growing field peas for dry consumption,1111300405,Dry Pea Farming - Contract Growing,Business Model,"Farms primarily engaged in growing field peas for dry consumption Contract production for processors, cooperatives, or major buyers."
111130,Dry Pea and Bean Farming,11113005,Lima Bean Farming,Crop Type,Farms primarily engaged in growing lima beans for dry consumption,1111300501,Lima Bean Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing lima beans for dry consumption Small-scale operations under 100 acres.
111130,Dry Pea and Bean Farming,11113005,Lima Bean Farming,Crop Type,Farms primarily engaged in growing lima beans for dry consumption,1111300502,Lima Bean Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing lima beans for dry consumption Medium-sized operations 100-1000 acres.
111130,Dry Pea and Bean Farming,11113005,Lima Bean Farming,Crop Type,Farms primarily engaged in growing lima beans for dry consumption,1111300503,Lima Bean Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing lima beans for dry consumption Large-scale commercial operations over 1000 acres.
111130,Dry Pea and Bean Farming,11113005,Lima Bean Farming,Crop Type,Farms primarily engaged in growing lima beans for dry consumption,1111300504,Lima Bean Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing lima beans for dry consumption Operations utilizing GPS, sensors, drones, and precision ag technology."
111130,Dry Pea and Bean Farming,11113005,Lima Bean Farming,Crop Type,Farms primarily engaged in growing lima beans for dry consumption,1111300505,Lima Bean Farming - Contract Growing,Business Model,"Farms primarily engaged in growing lima beans for dry consumption Contract production for processors, cooperatives, or major buyers."
111130,Dry Pea and Bean Farming,11113006,Organic Pulse Crop Farming,Production Method,Farms growing organic certified dry peas beans or lentils,1111300601,Organic Pulse Crop Farming - Small-Scale (<50 acres),Farm Size,"Farms growing organic certified dry peas beans or lentils Small organic operations under 50 acres, often direct-to-consumer."
111130,Dry Pea and Bean Farming,11113006,Organic Pulse Crop Farming,Production Method,Farms growing organic certified dry peas beans or lentils,1111300602,Organic Pulse Crop Farming - Medium-Scale (50-500 acres),Farm Size,Farms growing organic certified dry peas beans or lentils Medium-sized organic farms 50-500 acres with regional distribution.
